Station_ID,Name,Address,Latitude,Longitude,Regular_Price,Plus_Price,Premium_Price,Scrape_Date
fast-trak-valero,Fast Trak Valero,"El Paso, TX 79938",31.745064,-106.4639476,3.82,,,5/31/2026
petro-travel-center,Petro Travel Center,"El Paso, TX 79938",31.6609767,-106.3866485,,,,5/31/2026
texaco-service-station-(former),Texaco Service Station (Former),"El Paso, TX 79930",31.7859338,-106.534334,,,,6/1/2026
quick-mart,Quick Mart,"El Paso, TX 79901",31.7547176,-106.5271964,4.4,,,6/1/2026
diamond-shamrock,Diamond Shamrock,"El Paso, TX 79903",31.7793522,-106.487123,,,,6/1/2026
firestone-complete-auto-care,Firestone Complete Auto Care,"El Paso, TX 79903",31.7825288,-106.4649497,,,,6/1/2026
murphy's-usa,Murphy's USA,"El Paso, TX 79912",31.8379277,-106.632765,3.86,,,6/1/2026
gas-station,Gas Station,"El Paso, TX 79938",31.8188317,-106.2497142,,,,6/1/2026
howdy's-chevron,Howdy's Chevron,"El Paso, TX 79915",31.722846,-106.4036909,4.4,,,6/1/2026
valero-fast-market,VALERO FAST MARKET,"El Paso, TX 79938",31.7827499,-106.4106502,3.97,,,6/1/2026
7-eleven,7-Eleven,"El Paso, TX 79924",31.9104305,-106.4786586,,,,6/1/2026
circle-k-gas-station,Circle K Gas Station,"El Paso, TX 79938",31.776881,-106.3410978,3.85,,,6/1/2026
fast-trak-valero,Fast Trak Valero,"El Paso, TX 79938",31.8038457,-106.3565626,3.82,,,6/1/2026
speedway,Speedway,"El Paso, TX (Socorro_Horizon_Border)",31.7256355,-106.2843653,,,,6/1/2026
chevron,Chevron,"El Paso, TX (Socorro_Horizon_Border)",31.7052302,-106.3003847,4.4,,,6/1/2026
circle-k-|-gas-station,Circle K | Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.7792925,-106.4291065,,,,6/1/2026
dk-gas-station,DK Gas Station,"El Paso, TX (Northeast_Dyer)",31.8367682,-106.3835532,4.1,,,6/1/2026
valero,Valero,"El Paso, TX (Socorro_Horizon_Border)",31.679245,-106.3345322,3.96,,,6/1/2026
alon-gas-station,ALON Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.679245,-106.3345322,3.92,,,6/1/2026
circle-k,Circle K,"El Paso, TX (Socorro_Horizon_Border)",31.7052302,-106.3003847,3.83,,,6/1/2026
flyers,Flyers,"El Paso, TX (Zaragosa_Lower_Valley)",31.7489212,-106.3409759,,,,6/1/2026
windstar-gas-station,Windstar Gas Station,"El Paso, TX (Downtown_Central)",31.7548313,-106.5091717,,,,6/1/2026
chevron-howdy's,Chevron Howdy's,"El Paso, TX (Far_East_Montana)",31.8002216,-106.4395241,4.4,,,6/1/2026
in-n-out-gas-station,In-N-Out Gas Station,"El Paso, TX (Upper_Valley)",31.7767451,-106.4045261,,,,6/1/2026
costco-gas-station,Costco Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.7810875,-106.4246792,,,,6/1/2026
brio,Brio,"El Paso, TX (Far_East_Montana)",31.7681631,-106.4413088,,,,6/1/2026
parking,parking,"El Paso, TX (Downtown_Central)",31.7618778,-106.5030461,,,,6/1/2026
marathon,Marathon,"El Paso, TX (Downtown_Central)",31.7670812,-106.479743,,,,6/1/2026
gazpro-5-de-mayo,Gazpro 5 de Mayo,"El Paso, TX (Downtown_Central)",31.7440663,-106.4914757,,,,6/1/2026
oxxo-gas,Oxxo Gas,"El Paso, TX (Downtown_Central)",31.7440663,-106.4914757,,,,6/1/2026
payan's-fuel-center,Payan's Fuel Center,"El Paso, TX (Downtown_Central)",31.766977,-106.4792114,4.1,,,6/1/2026
ram,Ram,"El Paso, TX (Downtown_Central)",31.7592188,-106.4920828,,,,6/1/2026
ram-super-stop,Ram Super Stop,"El Paso, TX (Downtown_Central)",31.779059,-106.4098922,,,,6/1/2026
klemme-roadway,Klemme Roadway,"El Paso, TX (Socorro_Horizon_Border)",31.7833158,-106.4250496,,,,6/1/2026
totalgas--lerdo,TotalGas- Lerdo,"El Paso, TX (Downtown_Central)",31.7659348,-106.4325506,,,,6/1/2026
c-&-r-distributing-llc,C & R Distributing LLC,"El Paso, TX (Socorro_Horizon_Border)",31.7792925,-106.4291065,,,,6/1/2026
gazpro-anapra,Gazpro Anapra,"El Paso, TX (Downtown_Central)",31.7521378,-106.5157245,,,,6/1/2026
pemex-gasolinera-5-de-mayo,Pemex Gasolinera 5 de mayo,"El Paso, TX (Downtown_Central)",31.7441551,-106.4913405,,,,6/1/2026
711,711,"El Paso, TX (Socorro_Horizon_Border)",31.7810247,-106.4439032,,,,6/1/2026
dk,Dk,"El Paso, TX (Socorro_Horizon_Border)",31.7811996,-106.4248036,,,,6/1/2026
gasolinera-pemex,Gasolinera Pemex,"El Paso, TX (Downtown_Central)",31.7428647,-106.4991714,,,,6/1/2026
valero-corner-store,Valero Corner Store,"El Paso, TX (Far_East_Montana)",31.7883855,-106.4672847,4.1,,,6/1/2026
tahsin-aslan-cumhuriyeti,Tahsin Aslan Cumhuriyeti,"El Paso, TX (Downtown_Central)",31.7618778,-106.5030461,,,,6/1/2026
pemex-gasolinera-tlaxcala,Pemex Gasolinera Tlaxcala,"El Paso, TX (Downtown_Central)",31.7433584,-106.4820212,,,,6/1/2026
mesa-hills-valero,Mesa Hills Valero,"El Paso, TX (West_Side_Mesa)",31.818696,-106.5335138,4.16,,,6/1/2026
mesa-hills-shamrock,MESA HILLS SHAMROCK,"El Paso, TX (West_Side_Mesa)",31.818253,-106.5337944,,,,6/1/2026
cassidy-express,Cassidy Express,"El Paso, TX (Socorro_Horizon_Border)",31.8132896,-106.4496756,,,,6/1/2026
sam's-club-gas-station,Sam's Club Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.7767451,-106.4045261,,,,6/1/2026
walmart-fuel-&-convenience,Walmart Fuel & Convenience,"El Paso, TX (Upper_Valley)",31.8840023,-106.5967574,,,,6/1/2026
murphy-usa,Murphy USA,"El Paso, TX (Socorro_Horizon_Border)",31.6536896,-106.3074275,3.73,,,6/1/2026
giant,Giant,"El Paso, TX (Upper_Valley)",31.8789953,-106.5866748,,,,6/1/2026
fast-market-8168,Fast Market 8168,"El Paso, TX (Upper_Valley)",31.8612739,-106.567382,,,,6/1/2026
station-54,STATION 54,"El Paso, TX (Northeast_Dyer)",31.8488722,-106.457339,,,,6/1/2026
logan-heights-express,Logan Heights Express,"El Paso, TX (Northeast_Dyer)",31.839986,-106.4616804,,,,6/1/2026
aafes,AAFES,"El Paso, TX (Northeast_Dyer)",31.8367682,-106.3835532,,,,6/1/2026
good-time-stores,Good Time Stores,"El Paso, TX (Northeast_Dyer)",31.853124,-106.456742,,,,6/1/2026
bliss-biggs-east-express,Bliss Biggs East Express,"El Paso, TX (Northeast_Dyer)",31.8277145,-106.4061606,,,,6/1/2026
aafes-px-gas-station,AAFES PX Gas Station,"El Paso, TX (Far_East_Montana)",31.7750579,-106.3920526,,,,6/1/2026
freeway-chevron,FREEWAY CHEVRON,"El Paso, TX (Far_East_Montana)",31.7640375,-106.3829644,4.4,,,6/1/2026
western-fuel,Western fuel,"El Paso, TX (East_Side_Cielo_Vista)",31.7766157,-106.4088902,,,,6/1/2026
phillips-66,Phillips 66,"El Paso, TX (Socorro_Horizon_Border)",31.7398113,-106.3651365,3.96,,,6/1/2026
shell,Shell,"El Paso, TX (East_Side_Cielo_Vista)",31.765342,-106.3573634,4.4,,,6/1/2026
dk-convenient-store/gas-station,DK Convenient Store/Gas Station,"El Paso, TX (Zaragosa_Lower_Valley)",31.7438495,-106.3038977,,,,6/1/2026
"valero-""fast-mart""","Valero ""Fast Mart""","El Paso, TX (Zaragosa_Lower_Valley)",31.7378595,-106.3095234,,,,6/1/2026
dk-convenience-store,DK Convenience Store,"El Paso, TX (Zaragosa_Lower_Valley)",31.7653262,-106.3481719,,,,6/1/2026
chevron-el-paso-far-east-montana,Chevron El Paso Far East Montana,"El Paso, TX (Far_East_Montana)",31.8081137,-106.2776987,4.3,,,6/1/2026
water-refill-station,Water Refill Station,"El Paso, TX (Far_East_Montana)",31.803409,-106.3029603,,,,6/1/2026
nustar-energy---el-paso-terminal,NuStar Energy - El Paso Terminal,"El Paso, TX (Far_East_Montana)",31.8223608,-106.2766917,,,,6/1/2026
quiktrip,Quiktrip,"El Paso, TX (Socorro_Horizon_Border)",31.685814,-106.2861944,3.73,,,6/1/2026
murphy-express,Murphy Express,"El Paso, TX (Socorro_Horizon_Border)",31.6885755,-106.2814167,3.73,,,6/1/2026
flying-j-travel-center,Flying J Travel Center,"El Paso, TX (Socorro_Horizon_Border)",31.6620526,-106.2561123,4.1,,,6/1/2026
love's-travel-stop,Love's Travel Stop,"El Paso, TX (Socorro_Horizon_Border)",31.6620526,-106.2561123,3.73,,,6/1/2026
